,dx,ht,natr,willr,rsi,roc,mom,mfi,adxr,obv,ad,bas,macd,cci,atr,r_3,r_2,r_1,width,cmo,slowd,slowk,hl,var,mabas,mabas2,amount,close,datetime,down_count,high,low,open,percent,settle,suspend,time,up_count,vol,wd,state
2017-02-21,37.7452796929,1,1.39013812973,-23.1780055918,66.6421688594,1.86895191056,59.21,74.9125521433,26.049009959,23472623.0,-929984.867093,0.00740152923176,7.10521641319,141.175318732,21.1021577955,1.35366193853,1.34164326952,0.431102022696,0.0578415118124,33.2843377188,70.9329542565,65.3169048011,-4.16220217778,200.027724001,0.00601034572502,-0.00829533772395,21043521536.0,1517.99,201702211500,8.0,1534.33,1510.69,1512.76,0.4320326042,1511.46,0,1500,18.0,165554.0,3,3
2017-02-22,31.574844471,1,1.36011484657,-27.101584343,64.1438033089,2.18370088361,48.7,69.4202067218,25.8993455236,23363799.0,-866710.977842,0.00699538693417,6.70889392139,92.4683059122,20.5891465244,1.06391753794,0.153376291124,-0.277725731572,0.0600505251788,28.2876066178,68.486132047,66.1194914323,-4.81439319028,200.239141,0.00633869279473,-0.00741301246257,13252464640.0,1513.78,201702221500,19.0,1516.35,1504.07,1515.7,-0.2773404304,1517.99,0,1500,5.0,108824.0,4,3
2017-02-23,21.515369609,1,1.37779316051,-42.348555452,55.4450757656,-0.0106839033641,44.94,67.27310818,25.516545739,23254992.0,-927125.062828,0.00470389228864,5.03975143009,50.957179069,20.6313503441,-0.933244389968,-1.36434641266,-1.08662068109,0.0584338481391,10.8901515311,61.4825255841,53.011180519,-4.25844156602,144.739829,0.0057937592927,-0.00667093211322,13372113920.0,1497.42,201702231500,24.0,1513.89,1492.71,1512.9,-1.0807382843,1513.78,0,1500,3.0,108807.0,1,4
2017-02-24,21.1816135767,1,1.32899609055,-39.7017707363,56.5467248078,0.166915927785,46.12,66.3433836443,25.3665120977,23339190.0,-889147.373898,0.00345518393048,3.87414176159,33.3298398942,19.9383967481,-1.17486649154,-0.897140759973,0.189479921119,0.0584531611519,13.0934496156,53.8752803167,42.4951689989,-4.92188240321,116.583149,0.00501423417196,-0.00601314007192,10065314816.0,1500.26,201702241500,6.0,1503.26,1492.33,1496.48,0.1896595478,1497.42,0,1500,18.0,84198.0,2,4
2017-02-27,11.8485516281,1,1.33791532911,-55.4333643989,48.8201740686,-1.85780635941,38.72,65.4315644679,24.0199743656,23255974.0,-954279.602259,0.000859437575971,1.81792561307,-36.3478201347,19.8463684089,-2.02865663314,-0.94203595205,-1.13151587317,0.0574865431565,-2.35965186284,40.4274833823,25.7761006289,-4.51152712406,137.300300001,0.0036293019733,-0.00554388930821,10384175104.0,1483.38,201702271500,27.0,1497.9,1481.61,1497.75,-1.1251383094,1500.26,0,1500,0.0,83216.0,2,4
2017-02-28,11.7880077032,1,1.29444410458,-75.4905834321,49.7660657163,-2.13769524173,11.65,60.3791803009,22.9365611147,23333097.0,-976363.886827,-0.00039334068039,0.522229723901,-59.4913548623,19.2294849512,-0.79652846912,-0.986008390239,0.14550748293,0.0551517624153,-0.467868567438,29.3566705887,19.7987421384,-4.88672738442,147.4663,0.00228842108874,-0.00518464220288,9544710144.0,1485.54,201702281500,5.0,1492.75,1481.54,1482.42,0.1456133964,1483.38,0,1500,19.0,77123.0,2,4
2017-03-01,12.6247908394,1,1.2532297602,-79.3296089385,49.3567461092,-1.92498249415,11.2,59.1400301545,22.144666479,23244049.0,-1044379.5973,-0.00114590754609,-0.425336599337,-65.3944988608,18.6059503118,-1.04661077983,0.0849050933412,-0.0606023895888,0.0529116106401,-1.2865077815,18.3864542606,9.58452001461,-4.95155234044,137.332009001,0.00114364487713,-0.00490640754999,10896208896.0,1484.64,201703011500,19.0,1493.9,1483.4,1486.41,-0.06058403,1485.54,0,1500,5.0,89048.0,2,4
2017-03-02,19.5893011196,1,1.28011186105,-93.2981132075,47.6723942273,-1.09321366083,-1.23,59.2350822567,21.9517995642,23095870.0,-1180603.60367,-0.00185377137515,-1.27572915012,-65.5178361968,18.9590967181,-0.157197200123,-0.302704683053,-0.242102293464,0.0515183424525,-4.65521154548,12.048475164,6.76216333904,-4.14138075421,166.555396,0.000144506126367,-0.00470836366489,19125800960.0,1481.05,201703021500,14.0,1503.65,1480.1,1486.86,-0.2418094622,1484.64,0,1500,11.0,148179.0,2,4
2017-03-03,4.76678543793,1,1.28132334425,-93.898262083,42.3756546058,-2.09430365403,-23.33,52.8566440947,21.2433332976,22994749.0,-1182460.92816,-0.00337712444421,-2.5678366975,-168.172871641,18.8205898097,-1.13053688899,-1.0699344994,-0.827832205935,0.0484654987124,-15.2486907885,6.96548889536,4.54978333242,-5.00984586693,239.329684,-0.00102937073049,-0.00464892745618,12222042112.0,1468.84,201703031500,27.0,1473.83,1464.03,1473.2,-0.8244151109,1481.05,0,1500,0.0,101121.0,2,4
2017-03-06,11.3496704694,1,1.25960035959,-76.2273246226,49.2970691398,-0.0411223017703,-7.37,52.2335012493,20.5343122126,23083969.0,-1093240.92816,-0.00258146503817,-2.39502188312,-100.039565485,18.6769762518,-0.126035852649,0.116066440816,0.94389864675,0.0442080161769,-1.40586172049,8.70530955432,14.8039819915,-4.47969329166,215.726421001,-0.00154673549972,-0.0045726115307,10962027520.0,1482.77,201703061500,0.0,1482.77,1465.96,1467.29,0.9483674192,1468.84,0,1500,27.0,89220.0,3,4
